,previousClose,regularMarketOpen,twoHundredDayAverage,regularMarketDayHigh,regularMarketPreviousClose,fiftyDayAverage,open,beta,regularMarketDayLow,trailingPE,priceToSalesTrailing12Months,dayLow,ask,fiftyTwoWeekHigh,fiftyTwoWeekLow,bid,dayHigh,enterpriseToRevenue,profitMargins,bookValue,sharesPercentSharesOut,heldPercentInstitutions,trailingEps,priceToBook,heldPercentInsiders,shortRatio,earningsQuarterlyGrowth,shortPercentOfFloat,regularMarketPrice,forwardPE,enterpriseToEbitda,forwardEps,pegRatio,trailingAnnualDividendYield,trailingAnnualDividendRate,payoutRatio,dividendRate,fiveYearAvgDividendYield,dividendYield
PZZA,83.26,84.07,78.318855,84.31,83.26,94.48086,84.07,0.968227,80.58,215.01306,1.5973554,80.58,81.89,102.25,28.55,,84.31,2.185,0.016139999,-9.508,0.1038,1.06008,0.383,,0.0548,6.26,1.468,0.1318,84.07,35.34335,29.514,2.33,7.03,0.010809512,0.9,2.3683999,0.9,1.37,0.0108
FLWS,22.865,23.01,21.7475,23.57,22.865,28.039999,23.01,1.508918,22.56,25.887642,0.99624026,22.56,,32.78,11.15,23.01,23.57,0.955,0.03961,6.219,0.0908,0.73450994,0.89,3.7047758,0.30042,9.25,,0.2533,23.01,,12.609,1.44,0.97,,,,,,
CHTR,620.31,622.08,528.3901,628.3,620.31,608.11426,622.08,1.064102,611.79,59.80392,2.746556,611.79,627.3,635.86,345.67,626.78,628.3,4.792,0.04851,127.138,0.0414,0.65629,10.455,4.9178843,0.27046,9.78,1.439,0.0735,622.08,32.080555,13.066,19.49,0.95,,,,,,
BLDR,32.28,32.46,21.159357,32.55,32.28,29.571714,32.46,2.630434,31.11,17.922554,0.49492684,31.11,31.7,33.45,,31.7,32.55,0.7,0.027709998,7.849,0.065799996,0.97806,1.769,4.039368,0.01783,2.01,0.185,0.075100005,32.46,13.26569,10.35,2.39,3.1,,,,,,
SPNS,30.24,30.6,26.08343,30.68,30.24,32.343716,30.6,1.317168,29.96,50.53333,4.314854,29.96,30.28,35.23,13.55,30.22,30.68,4.41,0.08604,4.713,0.0199,0.20954001,0.6,6.43327,0.50069,4.7,0.359,0.0395,30.6,29.436893,27.038,1.03,1.87,0.0066137565,0.2,0.6,0.14,,0.0046
DCTH,10.76,10.95,10.216648,11.35,10.76,11.781143,10.95,0.37068,10.83,,27.150673,10.83,11.4,77.00008,5.15,9.69,11.35,20.416,,2.187,0.0343,0.00077,-12.878,4.9519887,0.00945,3.25,,0.0345,10.95,-3.242515,-1.663,-3.34,-0.07,,,,,,
ONCT,2.17,2.21,2.7561429,2.33,2.17,2.492,2.21,,2.16,,19.287558,2.16,2.25,6.29,1.96,2.12,2.33,10.567,,1.18,0.003,0.09494001,-0.584,1.8389832,0.29198,0.76,,0.004,2.21,-1.954955,,-1.11,,,,,,,
LMNL,12.55,12.35,10.57981,12.375,12.55,14.13714,12.35,2.056024,11.84,,,11.84,11.94,31.45,5.25,11.77,12.375,,,,0.0015,0.14226,,,0.71387,0.18,,0.0097,12.35,,,,,,,,,,
AHT,1.99,2.08,6.8367143,2.15,1.99,3.0977144,2.08,1.511148,1.9823,,0.025170041,1.9823,2.02,34.387352,1.78,,2.15,3.835,-0.33056,-3.716,0.10479999,0.57174,-38.769,,0.06042,1.94,,0.1381,2.08,-0.083060555,25.689,-24.44,-0.01,0.6030151,1.2,,,11.48,
SLS,2.55,2.46,2.620357,2.91,2.55,2.6022856,2.46,1.525563,2.46,,,2.46,2.7,,1.46,2.46,2.91,,,0.563,0.015700001,0.14527,-4.954,4.795737,0.02079,0.47,,0.015700001,2.46,-2.647059,,-1.02,,,,,,,
BLIN,1.93,1.92,1.5741428,2.1,1.93,2.2162857,1.92,2.871237,1.89,,0.79149055,1.89,2.04,3.62,0.53,1.9,2.1,0.975,-0.00459,0.735,0.0202,0.04109,-0.846,2.6530612,0.09399,0.12,,0.020499999,1.92,-13.928572,-4.829,-0.14,,,,,,,
CPE,5.98,5.92,8.8785715,6.065,5.98,7.82,5.92,2.912486,5.73,,0.29344743,5.73,5.9,49.8,3.8,5.83,6.065,4.762,-1.74063,47.343,0.1658,1.0872899,-41.727,0.1252561,0.02174,2.38,,0.2323,5.92,1.3177778,5.635,4.5,-0.05,,,,,,
ACER,2.54,2.57,2.9685714,2.73,2.54,3.246,2.57,1.436178,2.5125,,,2.5125,2.74,7.25,1.08,2.55,2.73,,,1.057,0.045700002,0.51929003,-2.079,2.450331,0.24643,0.65,,0.074099995,2.57,-1.7266666,-0.985,-1.5,,,,,,,
SFUN,10.91,10.7,12.819858,11.19,10.91,12.017143,10.7,0.959866,10.775,,0.45351988,10.775,11.2,35.6,8.1,10.55,11.19,2.587,-0.21921,63.077,0.009,0.48891,-5.379,0.17613393,0.00409,4.74,4.138,,10.7,85.46154,15.136,0.13,,0.036663614,0.4,,,,
VET,3.06,3.12,4.3867145,3.12,3.06,3.9271429,3.12,3.211482,2.96,,,2.96,3.02,17.56,1.5,2.91,3.12,,-1.19287,12.451,0.038900003,0.44294998,-0.244,0.24335395,0.02283,5.47,,,3.12,4.967213,,0.61,3.96,0.65588236,2.007,,,11.25,
SCOR,2.27,2.32,2.9042144,2.38,2.27,2.7528572,2.32,0.791527,2.23,,0.44372132,2.23,2.3,5.51,1.68,2.27,2.38,1.087,-0.15109,3.387,0.053000003,0.79011,-0.809,0.6761145,0.18314,14.01,,0.074,2.32,-3.523077,60.152,-0.65,-0.15,,,,,,
CYCC,3.77,3.73,5.323571,3.76,3.77,4.0825715,3.73,1.125418,3.52,,,3.52,3.8,19.6,3.23,3.65,3.76,,,5.464,0.006,0.14237,-4.846,0.6844802,0.05325,0.1,,0.0061000003,3.73,-1.8606966,0.815,-2.01,,,,,,,
ABEO,1.96,2.2,2.6353571,2.335,1.96,2.4465714,2.2,1.169453,2.045,,,2.045,2.1,5.19,1.35,2.06,2.335,,,1.428,0.026300002,0.66402,-1.309,1.4565827,0.17819001,3.22,,0.031600002,2.2,-2.849315,-1.169,-0.73,,,,,,,
PSTV,2.86,2.84,2.058143,2.98,2.86,2.7077143,2.84,0.540691,2.82,,2.0065806,2.82,2.93,,0.93,2.92,2.98,1.29,-0.24209,0.056,0.0642,0.18843001,-30.616,52.5,0.00745,0.61,,0.0642,2.84,-0.4949495,-2.279,-5.94,,,,,,,
YTEN,7.21,7.21,5.6115,7.65,7.21,5.698,7.21,2.564659,7.0401,,32.1394,7.0401,7.5,31.2,3.5,7.53,7.65,11.892,,4.302,0.0138,0.092530005,-12.53,1.7759181,0.22625,0.18,,0.016,7.21,-2.5723906,-1.007,-2.97,,,,,,,
ACY,2.23,2.22,2.2875,2.3,2.23,2.545143,2.22,2.12486,2.15,,0.09193577,2.15,2.2,6.65,0.71,2.15,2.3,3.041,-1.02546,0.216,0.002,0.1105,-25.21,10.462963,0.21372,0.11,,0.0026,2.22,1.7384616,4.788,1.3,,,,,,,
MAC,7.81,7.7,8.438786,7.71,7.81,7.832857,7.7,1.77369,7.405,19.556135,1.2390512,7.405,7.55,32.66,4.81,7.48,7.71,7.703,0.06161,16.727,0.5126,1.17099,0.383,0.44777906,0.0058099995,15.5,,0.83739996,7.7,-20.243242,13.033,-0.37,-80.86,0.35211268,2.75,6.0256,0.6,8.47,0.076799996
OXY,11.86,11.79,15.245,12.09,11.86,13.282857,11.79,1.861204,11.47,,0.50377285,11.47,11.65,47.58,,11.64,12.09,2.787,-0.56146,14.794,0.0509,0.84512,-14.447,0.7874814,0.00168,2.12,,0.056500003,11.79,-8.50365,6.658,-1.37,0.22,0.20067455,2.38,,0.04,6.39,0.0034
QUAD,3.21,3.25,3.2335,3.51,3.21,3.4351428,3.25,1.832775,3.21,,0.05623214,3.21,3.5,11.31,,3.13,3.51,0.367,-0.045289997,2.872,0.0544,0.6213,-3.076,1.2221448,0.23628001,18.16,,0.0889,3.25,8.16279,4.169,0.43,,0.18691589,0.6,,,10.52,
FLR,9.4,9.52,10.046143,9.77,9.4,10.068286,9.52,2.779821,9.25,,0.0712961,9.25,9.5,20.9,2.85,9.39,9.77,0.081,-0.07046,11.125,0.045100003,0.9457,-9.317,0.84674156,0.00838,2.87,,0.0507,9.52,8.12069,-12.629,1.16,0.1,0.089361705,0.84,,,2.31,
DSS,5.63,5.59,7.4727864,5.74,5.63,6.938857,5.59,9.738573,5.5,,1.4415432,5.5,5.66,15.600016,3.6900036,5.51,5.74,1.142,-0.21014,6.726,0.0337,0.010039999,-2.821,0.8177223,0.41047,0.24,,0.0397,5.59,39.285713,-8.959,0.14,,,,,,,
BCDA,2.34,2.39,3.1043572,2.5,2.34,2.4094286,2.39,2.071212,2.39,,64.36197,2.39,2.5,6.75,2.01,2.35,2.5,36.514,,0.587,0.0019,0.0306,-2.197,4.1737647,0.76902,0.16,,0.0026,2.39,-2.816092,-1.163,-0.87,,,,,,,
ARLP,3.22,3.25,3.5421429,3.335,3.22,3.2771428,3.25,1.667781,3.1391,,0.26540184,3.1391,3.26,16.14,2.7,3.17,3.335,0.756,-0.08302,7.954,0.0052,0.21907,,0.39979884,0.33095002,1.31,,0.0076,3.25,,2.812,,0.28,0.29192546,0.94,,,16.74,
OVV,9.89,9.75,7.9626427,10.29,9.89,10.775714,9.75,4.84811,9.69,,0.42779052,9.69,10.15,25.3,2.1,9.36,10.29,1.714,-0.61736,,0.107700005,,,,,8.36,,0.1342,9.75,,3.828,,2.67,,,,0.38,,0.0369
JAKK,4.22,4.27,5.762643,4.27,4.22,4.621143,4.27,2.884615,4.07,,0.030035911,4.07,4.25,14.6,,4.1,4.27,0.304,-0.06776,-5.797,0.0556,0.38577,-13.722,,0.40707,0.69,,0.08140001,4.27,-2.3238637,6.781,-1.76,-0.04,,,,,,
AYRO,,,837.0684,3.02,,3.4297142,,,2.79,,80.38257,2.79,2.83,5468.75,2.15,2.83,3.02,69.356,,,0.051,,,,,0.77,,,,,-7.65,,,,,,,,
OII,4.25,4.28,5.257,4.365,4.25,5.2714286,4.28,3.326644,4.08,,0.20472567,4.08,4.25,,2.01,4.2,4.365,0.516,-0.33665,6.238,0.033099998,1.01512,-6.874,0.6684835,0.01623,2.67,,0.053000003,4.28,-6.415385,12.072,-0.65,-0.08,,,,,,
CLB,18.48,18.5,18.664429,18.56,18.48,21.63943,18.5,3.102006,17.46,,1.3342748,17.46,17.78,49.38,6.68,17.76,18.56,1.884,-0.13387999,1.396,0.103,1.19084,-1.803,12.851003,0.011519999,11.12,,0.1168,18.5,20.62069,12.19,0.87,8.35,0.07359307,1.36,,0.04,3.29,0.0022
XAN,2.13,2.11,3.0232856,2.17,2.13,2.3491428,2.11,1.335562,2.08,,16.598396,2.08,2.11,12.51,0.95,2.08,2.17,379.383,,9.665,0.0375,0.78222,-7.016,0.21727884,0.03098,1.55,,0.044499997,2.11,8.4,,0.25,0.82,0.24647886,0.525,,,11.43,
APDN,8.24,8.25,7.6797857,8.39,8.24,8.791715,8.25,1.225195,7.4101,,12.128793,7.4101,7.92,19.69,2.52,7.77,8.39,10.08,,1.768,0.1075,0.19804001,-3.6,4.3891406,0.16450001,0.41,,0.1113,8.25,-8.818182,-3.293,-0.88,,,,,,,
TEN,7.71,7.61,6.5652857,7.76,7.71,8.500857,7.61,2.899665,7.44,,0.041025627,7.44,7.54,16.29,2.21,7.49,7.76,0.435,-0.09588,0.911,0.0712,0.89228,-17.66,8.276619,0.02385,4.42,,0.114300005,7.61,4.8645163,8.067,1.55,-0.7,,,,,,
BPTH,4.25,4.32,4.8854284,4.82,4.25,4.490857,4.32,2.298216,4.1,,,4.1,4.55,13.34,2.92,4.3,4.82,,,4.337,0.0152,0.114250004,-2.966,1.0237492,0.01258,0.15,,0.0153,4.32,-1.8347107,-0.032,-2.42,,,,,,,
ACHV,10.97,13.12,8.334,13.48,10.97,9.227428,13.12,1.513883,10.13,,,10.13,10.23,48.6,4.6,10.14,13.48,,,7.503,0.1409,0.17056,-12.354,1.3634546,0.01128,0.65,,0.1416,13.12,-1.7309644,-1.295,-5.91,,,,,,,
IRS,2.97,,3.5472858,,2.97,3.439143,,1.718178,2.91,0.19157341,,2.91,2.97,7.58,2.77,2.89,,,-0.31022,32.56,0.0023,0.22846001,15.19,0.08937346,0.00244,0.91,,,,-1.0210527,,-2.85,,,,,,,
CORR,6.96,6.98,12.668214,6.98,6.96,8.713142,6.98,1.105351,6.5,,1.2238595,6.5,6.6,49.72,6.5,6.58,6.98,2.956,,2.689,0.0638,0.65953004,-23.555,2.458163,0.00401,3.59,,0.0713,6.98,-220.33334,3.881,-0.03,-0.15,0.22988506,1.6,,0.2,10.6,0.028199999
DRAD,2.7,2.71,2.9872856,2.7396,2.7,2.6971428,2.71,0.41806,2.68,,0.10885053,2.68,2.8,8.84,1.99,2.68,2.7396,0.489,-0.051880002,4.499,0.0401,0.25386998,-3.293,0.5956879,0.09823,0.59,,0.043,2.71,3.5733335,11.094,0.75,2.41,0.2037037,0.55,,,,
ESEA,2.3,2.27,2.4334285,2.3373,2.3,2.4574285,2.27,0.719063,2.25,6.725146,0.24513206,2.25,2.33,6.56,1.23,2.24,2.3373,1.964,0.04435,4.173,0.0086,0.02757,0.342,0.55116224,0.72133005,0.1,,0.0376,2.27,2.804878,9.219,0.82,2.68,,,,,,
APEX,4.94,4.89,5.7986426,5.26,4.94,6.606,4.89,1.69175,4.87,,0.13859716,4.87,5.27,23.3,2.6,4.85,5.26,3.049,-0.55391,0.995,0.0392,0.30537,-2.099,4.954774,0.15969,0.31,,0.0635,4.89,,9.041,,,,,,,,
FCEL,2.46,2.47,2.228643,2.64,2.46,2.6754286,2.47,2.147714,2.43,,9.643107,2.43,2.64,3.5,0.23,2.6,2.64,10.917,-1.6241701,0.408,0.1711,0.09653,-0.558,6.4093137,0.052649997,2.8,,0.1712,2.47,-11.369565,-32.337,-0.23,-0.41,,,,,,
GEL,4.89,4.88,6.251929,4.99,4.89,5.647714,4.88,2.462095,4.765,,0.2827762,4.765,4.96,22.44,2.58,4.9,4.99,2.296,-0.121549994,8.241,0.0155,0.74778,-2.746,0.6030821,0.12557,1.27,,0.0242,4.88,15.53125,9.665,0.32,-0.08,0.28629857,1.4,,0.6,10.53,0.122700006
ENDP,3.24,3.24,3.5648572,3.31,3.24,3.0851429,3.24,1.423076,3.18,,0.2495488,3.18,3.26,7.1,2.08,3.24,3.31,2.428,-0.05248,-3.111,0.1158,0.89269996,-0.699,,0.00681,7.05,,0.16450001,3.24,1.5673077,14.646,2.08,-0.07,,,,,,
DHC,3.77,3.83,3.7842143,3.83,3.77,3.97,3.83,0.83389,3.65,,0.63993263,3.65,3.75,10.21,,3.66,3.83,3.25,-0.07139,,0.0644,0.71380997,,,0.01287,11.97,,0.0932,3.83,,9.913,,-3.27,,,,0.04,9.89,0.0106
PCG,9.78,9.76,10.1735,9.8296,9.78,9.239142,9.76,1.088628,9.465,,1.0705094,9.465,9.74,18.34,3.55,9.7,9.8296,3.146,-0.37954,6.699,0.0352,0.83607,-12.943,1.44947,0.00148,3.5,,0.0358,9.76,7.9590163,9.958,1.22,1.51,,,,,,
QUIK,3.13,3.13,3.715643,3.55,3.13,3.2948573,3.13,1.876254,3.1137,,4.2192507,3.1137,3.4,8.82,2.12,3.32,3.55,2.648,-1.4364301,1.432,0.008,0.18772,-1.606,2.2974858,0.01683,0.9,,0.0081,3.13,-82.25,-2.168,-0.04,-0.17,,,,,,
CREG,2.47,2.46,2.6021428,2.55,2.47,2.6322856,2.46,1.240245,2.43,,-738.9743,2.43,2.48,7.4,1.6,2.43,2.55,3949.965,,31.709,0.0219,0.032420002,-0.595,0.07821123,0.28659,0.04,,0.024400001,2.46,,,,,,,,,,
CRESY,2.95,2.96,3.4336429,3.04,2.95,3.3702857,2.96,1.581943,2.89,0.5498155,,2.89,2.98,7.8,2.32,2.96,3.04,,-0.20346001,20.97,0.0161,0.27449,5.42,0.14210778,0.0057300003,3.15,,,2.96,1.3607305,,2.19,,0.008813559,0.026,,,,
MRO,4.68,4.6602,5.333286,4.87,4.68,5.3077145,4.6602,3.227982,4.65,,0.9458354,4.65,4.84,14.07,3.02,4.79,4.87,2.161,-0.16182,14.146,0.0507,0.87777,-0.816,0.34073237,0.0032600001,1.73,,0.0657,4.6602,-7.774194,3.648,-0.62,0.94,0.021367522,0.1,,,2.14,
MVO,2.5592,2.578,3.284857,2.68,2.5592,2.878,2.578,1.458751,2.578,2.9071038,2.4773002,2.578,2.68,7.72,1.76,2.4,2.68,2.35,0.86433,1.043,0.0004,0.033940002,0.915,2.5503356,0.37717998,0.17,-0.047,0.0005,2.578,1.2788463,,2.08,,0.23835574,0.61,,0.92,,0.3575
SSL,8.51,8.4,6.4265714,8.47,8.51,8.360857,8.4,2.325742,8.28,7.9751673,,8.28,8.46,22.73,1.25,8.31,8.47,,-0.4786,26.338,0.0011999999,0.020569999,1.047,0.31703246,,0.47,,,8.4,2.1085858,,3.96,,0.11186839,0.952,,,,
USAP,6.38,6.4,7.625143,6.66,6.38,6.968,6.4,1.411371,6.4,,0.26404503,6.4,6.85,16.06,5.84,6.46,6.66,0.59,-0.01695,27.114,0.0014,0.88728,-0.429,0.24562955,0.03148,0.51,,0.0015,6.4,-10.090908,8.941,-0.66,-1.69,,,,,,
IDXG,3.32,3.28,5.139357,3.4,3.32,4.226286,3.28,1.536231,3.18,,0.50181794,3.18,3.4,,2.57,3.32,3.4,1.84,-1.1956401,1.691,0.0617,0.17181,-9.324,2.004731,0.01211,0.64,,0.0623,3.28,-1.5915493,-2.256,-2.13,-0.04,,,,,,
AVEO,6.09,6.14,5.287643,6.49,6.09,4.98,6.14,1.564659,6.05,,5.757902,6.05,6.42,10.71,2.23,6.19,6.49,2.864,-0.13274999,1.862,0.043899998,0.2701,-0.227,3.3566058,0.00245,3.25,,0.048899997,6.14,-5.1229506,,-1.22,,,,,,,
CGA,2.5947,2.56,2.6704285,2.5701,2.5947,2.7754285,2.56,0.751393,2.51,,0.061030008,2.51,2.8,4.85,1.8,2.5,2.5701,-0.077,-0.34195998,49.699,0.0086,0.00974,-18.044,0.050705243,0.30754998,1.39,,0.0125,2.56,,0.237,,,0.0385401,0.1,,,,
NMM,6.46,6.33,7.035857,6.48,6.46,6.2845716,6.33,2.482162,6.23,,0.31572837,6.23,6.84,21.3,4.08,5.2,6.48,2.505,-0.32798,62.078,0.0109,0.24295999,-6.369,0.10084088,0.22004999,1.15,,0.0139999995,6.33,1.5194175,5.819,4.12,0.23,0.14705881,0.95,,0.2,,0.0312
WES,7.83,7.83,8.332571,7.94,7.83,8.990857,7.83,3.719063,7.71,8.327974,1.1402804,7.71,7.84,26.37,2.9,7.65,7.94,4.008,0.14797,6.352,0.0176,0.40331,0.933,1.2232367,0.54762,5.1,0.579,0.038900003,7.83,4.340782,6.854,1.79,-2.25,0.23805875,1.864,2.3096,1.24,8.88,0.15890001
FTI,7.4,7.35,7.848643,7.56,7.4,7.8097143,7.35,2.189163,7.305,,0.24605645,7.305,7.42,24.62,4.49,7.11,7.56,0.274,-0.43275002,9.217,0.032899998,0.90932,-12.893,0.8061191,0.0069999998,3.12,-0.879,0.033099998,7.35,10.768116,2.544,0.69,8.94,0.035135135,0.26,,0.13,,0.0177
LJPC,4.71,4.75,5.1142855,4.78,4.71,4.07,4.75,2.610367,4.32,,4.8801556,4.32,4.6,10.37,2.3,4.53,4.78,7.34,-2.9823198,-2.892,0.1267,0.83605003,-2.887,,0.05993,6.4,,0.18540001,4.75,-3.5338342,-2.789,-1.33,-0.19,,,,,,
DVN,9.95,9.91,10.724143,10.065,9.95,10.7865715,9.91,3.255295,9.67,,0.6393074,9.67,9.85,26.98,4.7,9.69,10.065,1.132,-0.51554,8.426,0.026600001,0.85089,-7.914,1.1606932,0.00587,1.4,,0.0304,9.91,23.853659,3.494,0.41,1.39,0.038190953,0.38,,0.44,1.61,0.0442
X,8.41,8.46,7.461571,9.25,8.41,7.6545715,8.46,2.506131,8.3583,,0.18113461,8.3583,8.9,14.52,4.54,8.88,9.25,0.481,-0.16139,16.412,0.20639999,0.6947,-10.099,0.53741163,0.01506,5.1,,0.2083,8.46,-5.1578946,-31.693,-1.71,-0.17,0.014268728,0.12,,0.04,1.2,0.0047999998
NOV,11.85,11.71,12.049429,12.08,11.85,12.032,11.71,1.838907,11.61,,0.58546805,11.61,13.13,25.81,,11.06,12.08,0.74,-0.35564,14.063,0.0369,0.98472,-7.22,0.8348148,0.00418,3.56,,0.037,11.71,-39.13333,32.912,-0.3,-0.96,0.012658228,0.15,,,1.8,
ARMP,3.655,3.62,3.4762857,3.67,3.655,3.3922858,3.62,,3.4,,2047.5568,3.4,,6.92,2.52,3.59,3.67,1787.637,,1.59,0.0023,0.07678,-1.78,2.1383648,0.76144,2.44,,0.0034999999,3.62,-3.777778,-2.954,-0.9,,,,,,,
APA,12.42,12.59,12.202143,12.86,12.42,14.441143,12.59,4.659977,12.42,,0.9478629,12.42,12.59,33.77,3.8,12.63,12.86,3.015,-1.58716,-4.332,0.0323,0.99948996,-21.211,,0.00458,1.74,,0.044,12.59,-316.25,5.885,-0.04,0.35,0.044283416,0.55,,0.1,3.18,0.0081
AI,2.76,2.76,2.8622143,2.79,2.76,2.756,2.76,1.673913,2.7,,-1.9147155,2.7,2.79,6.77,1.4,2.69,2.79,-0.706,,5.668,0.025799999,0.46486,-1.838,0.48165137,0.021170001,3.91,,0.0296,2.76,9.75,,0.28,-0.22,0.16304347,0.45,,,21.01,
CMCT,,11.14,10.384,11.22,,10.486571,11.14,0.274247,,,1.5569093,,11.3,15.82,6.27,10.4,11.22,7.469,-0.04079,2.85,0.0058999998,0.34636003,-1.92,3.6280704,0.20825,9.53,,0.0073,11.14,-5.329897,27.154,-1.94,,0.02727273,0.3,,0.3,4.5,0.026500002
PAA,,6.94,7.9861426,6.98,,7.371143,6.94,2.138238,6.62,,0.16891614,6.62,7.23,21.9,,6.75,6.98,0.634,-0.06834,10.118,0.0117,0.51733,-2.954,0.6542795,0.39278,1.82,-0.682,0.018,6.94,5.2125983,8.691,1.27,0.99,0.15428571,1.08,,0.72,8.99,0.1017
ERJ,5.25,5.18,6.5205,5.18,5.25,5.425143,5.18,0.338348,4.89,,,4.89,4.9,20.24,3.99,4.94,5.18,,-0.53903,85.74,0.0232,0.47842997,-22.508,0.05738279,,1.82,,,5.18,-7.569231,,-0.65,-0.62,0.0038095238,0.02,,,,
ESTE,2.76,2.79,2.6209285,2.79,2.76,2.9194286,2.79,2.59476,2.65,8.548388,0.9981535,2.65,2.87,7.23,1.44,2.68,2.79,4.249,0.05506,11.784,0.0334,0.50067,0.31,0.2248812,0.29166,10.17,,0.0934,2.79,13.25,4.131,0.2,0.19,,,,,,
IDRA,2.61,2.6,1.8431429,2.75,2.61,2.0857143,2.6,2.084169,2.47,,,2.47,2.73,3.1,0.81,2.68,2.75,,,-0.516,0.0218,0.27527002,-2.627,,0.18235001,3.34,,0.028299998,2.6,-3.9411764,-0.849,-0.68,,,,,,,
BKD,2.76,2.78,3.0875,2.81,2.76,2.8222857,2.78,1.622073,2.71,6.318182,0.15656656,2.71,2.76,8.8,1.47,2.71,2.81,1.788,0.02497,5.118,0.0398,1.03852,0.44,0.54318094,0.01975,4.56,,0.044699997,2.78,-3.808219,14.077,-0.73,0.27,,,,,,
ITCB,4.395,4.4,4.3512144,4.381,4.395,4.6582856,4.4,0.539703,4.15,2.7666667,,4.15,4.59,11.78,3.01,4.25,4.381,,0.13463001,,0.0001,0.00307,1.5,0.27666667,,1.53,,,4.4,3.429752,,1.21,,,,,0.43,5.1,0.095699996
DAC,6.79,6.85,4.3112855,7.19,6.79,5.1291428,6.85,1.410813,6.51,1.0926844,0.39268172,6.51,7.61,13.12,2.5,7.25,7.19,3.457,0.30391002,38.315,0.028299998,0.39178002,6.452,0.18400106,0.43706,2.68,0.277,0.085,6.85,1.1119874,5.248,6.34,0.35,,,,,,
NBL,9.34,9.24,9.121786,9.3879,9.34,9.969714,9.24,2.629877,9.175,,1.1570753,9.175,9.33,25.08,2.73,9.24,9.3879,3.362,-1.43041,8.344,0.0191,0.99059,-11.608,1.1121764,0.01289,0.96,,0.025,9.24,-309.33334,6.937,-0.03,-5.84,0.040685225,0.38,,0.28,1.81,0.03
LTBR,3.64,3.72,4.412,3.94,3.64,5.006,3.72,3.245261,3.65,,,3.65,3.92,9.600004,1.71,3.88,3.94,,,4.77,0.0075,0.04577,-2.8,0.7924528,0.0062,0.41,,0.0075,3.72,-23.625,,-0.16,,,,,,,
ALIM,5.61,5.65,5.4355073,5.71,5.61,6.074943,5.65,2.054626,5.48,,0.52365154,5.48,7.15,9.98,2.86,5.4,5.71,1.636,-0.11659,-7.527,0.0067000003,0.49056,-1.301,,0.17947,0.35,,0.0076,5.65,-9.661017,79.041,-0.59,,,,,,,
PBT,2.81,2.8,3.2178571,2.955,2.81,2.98,2.8,1.016164,2.795,7.0398006,6.7586656,2.795,,5.24,2.38,2.66,2.955,5.887,0.94066,0.009,0.0074,0.096420005,0.402,314.44446,0.07012,3.47,-0.553,0.0074,2.8,,,,,0.14412811,0.405,0.9799,0.11,7.75,0.0378
HLX,3.09,3.09,3.1444285,3.26,3.09,3.8197143,3.09,3.557971,2.99,,0.6013948,2.99,3.06,,0.99,3.08,3.26,1.104,0.04356,11.028,0.054899998,0.97008,0.204,0.2774755,0.060089998,3.7,-0.677,0.078600004,3.09,-11.769231,5.495,-0.26,-0.28,,,,,,
FCRD,2.85,2.85,3.454681,2.88,2.85,3.2079413,2.85,1.583054,2.64,,2.1704624,2.64,2.68,6.86,1.84,2.4,2.88,6.128,-1.77294,,0.0041,0.53438,,,0.06027,2.74,,0.005,2.85,,,,1.63,,,,0.62,14.48,0.216
OPI,23.04,23.22,25.370571,23.22,23.04,24.253143,23.22,1.118171,22.34,14.881735,1.7531527,22.34,,35.95,16.5,22.66,23.22,5.195,0.11753,34.553,0.0301,0.7888,1.522,0.65551466,0.017239999,7.2,,0.0463,23.22,-64.71429,8.549,-0.35,51.2,0.09548611,2.2,1.4474001,2.2,11.02,0.0955
FOSL,8.135,8.22,4.3812857,8.23,8.135,5.8471427,8.22,1.38127,7.865,,0.21887694,7.865,8.11,13.08,2.69,7.99,8.23,0.368,-0.074149996,7.722,0.1529,0.99601996,-2.784,1.050246,0.091479994,4.53,,0.2459,8.22,-7.1140347,-13.517,-1.14,-0.24,,,,,,
OXSQ,2.5,2.51,2.8396428,2.56,2.5,2.6591427,2.51,1.141583,2.5,,2.7140787,2.5,2.56,6.37,2.04,2.5,2.56,4.614,-2.07792,3.536,0.0022,0.14512,-1.995,0.72115386,0.08262,0.42,,0.0023999999,2.51,7.083333,,0.36,1.32,0.32160002,0.804,,0.42,16.89,0.168
CPLP,6.66,6.69,7.630214,6.87,6.66,6.161143,6.69,1.458751,6.623,5.1874523,1.0150135,6.623,6.84,14.2,5.18,6.47,6.87,3.802,0.19208999,22.524,0.0047,0.22222,1.307,0.30101225,0.17257,0.39,0.106,0.0057,6.69,4.8428574,5.203,1.4,0.28,0.16741742,1.115,1.0231,0.4,14.71,0.060100004
TS,11.25,10.93,12.671214,11.105,11.25,11.638572,10.93,1.234939,10.795,,0.9927504,10.795,10.88,23.54,9.1,10.87,11.105,0.946,-0.0691,18.954,0.0104,0.13767,-0.762,0.5756041,0.00026,3.96,,,10.93,-272.75,7.059,-0.04,4.17,,,,0.82,3.46,0.0729
OCN,22.16,22.11,12.614571,24.09,22.16,20.038286,22.11,1.919175,22.11,,0.19977486,22.11,23.44,30.45,4.2,23.36,24.09,8.48,-0.03063,49.931,0.015,0.65244,-3.61,0.47185114,0.08842,1.79,,0.016900001,22.11,-4.3629627,18.629,-5.4,-1.82,,,,,,
